timestamp,clinic_id,chw_id,room_name,sensor_id,avg_co2_ppm,max_co2_ppm,avg_pm25,avg_temp_celsius,avg_humidity_rh,avg_noise_db,waiting_room_occupancy,chw_stress_score,zone_id
2023-11-20T09:05:00Z,ClinicA,,Waiting Room,Sensor_WR_A,850,950,15.2,24.5,60,65,8,,Zone-A
2023-11-20T10:00:00Z,,CHW001,Field,Wearable_1,NA,NA,NA,28.1,75,NA,NA,22,Zone-A
2023-11-20T11:30:00Z,,CHW002,Field,Wearable_2,NA,NA,NA,30.5,80,NA,NA,35,Zone-B
2023-11-20T14:00:00Z,,CHW002,Field,Wearable_2,NA,NA,NA,31.2,82,NA,NA,41,Zone-B
2023-11-20T08:00:00Z,,CHW004,Field,Wearable_4,NA,NA,NA,27.5,70,NA,NA,75,Zone-A
2023-11-19T10:05:00Z,ClinicC,,Waiting Room,Sensor_WR_C,1250,1600,25.5,26.8,68,72,12,,Zone-C
2023-11-19T10:00:00Z,,CHW003,Field,Wearable_3,NA,NA,NA,29.1,78,NA,NA,45,Zone-C
2023-11-19T14:30:00Z,,CHW001,Field,Wearable_1,NA,NA,NA,32.0,85,NA,NA,58,Zone-A
2023-11-18T11:00:00Z,,CHW002,Field,Wearable_2,NA,NA,NA,29.8,77,NA,NA,65,Zone-B
2023-11-17T16:05:00Z,ClinicB,,Lab,Sensor_LAB_B,750,900,12.1,22.5,55,68,2,,Zone-B
2023-11-17T16:00:00Z,,CHW002,Field,Wearable_2,NA,NA,NA,30.1,79,NA,NA,33,Zone-B
